date,DayOfWeek,Opening,High,Low,Closing,InterestRateate(USA),InterestRateate(EURO),UnemployRateate(USA),UnemployRateate(EURO),CPI(USA),CPI(EURO),GDP(USA),GDP(EURO),MovingAve5,MovingAve14,MovingAve30,Volatility5,Volatility14,Volatility30,HighLowVolatility5,HighLowVolatility14,HighLowVolatility30,ATR5,ATR14,ATR30,MADRate5,MADRate14,MADRate30,RSI5,RSI14,RSI30,shortMACD,shortMACDSignalSMA,shortMACDHistoSMA,shortMACDSignalEMA,shortMACDHistoEMA,longMACD,longMACDSignalSMA,longMACDHistoSMA,longMACDSignalEMA,longMACDHistoEMA,upperBBand5,upperBBand14,upperBBand30,underBBand5,underBBand14,underBBand30
2024/12/26,Thursday,1.04070,1.04300,1.03910,1.04230,4.50000,3.15000,4.04790,6.30125,1.30403,1.28218,4.09385,-0.96925,1.04126,1.04521,1.04952,0.00100,0.00608,0.00681,0.00528,0.00670,0.00783,0.00528,0.00670,0.00793,0.09988,-0.27814,-0.68793,77.27273,32.94118,44.95759,-0.00826,-0.00873,0.00047,-0.00923,0.00097,-0.00431,-0.00338,-0.00093,-0.00423,-0.00009,1.04325,1.05737,1.06314,1.03927,1.03305,1.03590
2024/12/25,Wednesday,1.04010,1.04280,1.03980,1.04070,4.50000,3.15000,4.04790,6.30125,1.30403,1.28218,4.09385,-0.96925,1.04006,1.04624,1.04988,0.00206,0.00670,0.00670,0.00598,0.00705,0.00798,0.00598,0.00705,0.00809,0.06153,-0.52979,-0.87407,75.96154,28.90443,42.72475,-0.00982,-0.00864,-0.00118,-0.00947,-0.00035,-0.00363,-0.00351,-0.00012,-0.00421,0.00057,1.04419,1.05964,1.06328,1.03593,1.03284,1.03647
2024/12/24,Tuesday,1.04060,1.04120,1.03840,1.04010,4.50000,3.15000,4.04790,6.30125,1.30403,1.28218,4.09385,-0.96925,1.03898,1.04754,1.05040,0.00275,0.00723,0.00658,0.00874,0.00741,0.00820,0.00874,0.00741,0.00831,0.10780,-0.70983,-0.98058,30.80169,39.12176,40.19435,-0.01142,-0.00835,-0.00307,-0.00938,-0.00204,-0.00286,-0.00384,0.00098,-0.00435,0.00148,1.04447,1.06200,1.06355,1.03349,1.03307,1.03725
2024/12/23,Monday,1.04320,1.04470,1.03840,1.04060,4.50000,3.15000,4.04790,6.30125,1.30403,1.28218,4.09385,-0.96925,1.04080,1.04831,1.05114,0.00499,0.00697,0.00662,0.00928,0.00773,0.00834,0.00928,0.00773,0.00844,-0.01922,-0.73588,-1.00272,28.96825,39.63783,39.22414,-0.01034,-0.00777,-0.00257,-0.00887,-0.00147,-0.00283,-0.00445,0.00162,-0.00472,0.00189,1.05077,1.06226,1.06439,1.03083,1.03437,1.03789
2024/12/20,Friday,1.03630,1.04470,1.03430,1.04260,4.50000,3.15000,4.04790,6.30125,1.30403,1.28218,4.09385,-0.96925,1.04292,1.04905,1.05197,0.00648,0.00665,0.00682,0.00900,0.00766,0.00846,0.00900,0.00766,0.00856,-0.03068,-0.61484,-0.89102,34.02490,42.62295,37.82211,-0.00905,-0.00741,-0.00164,-0.00850,-0.00055,-0.00292,-0.00521,0.00229,-0.00519,0.00227,1.05588,1.06236,1.06561,1.02996,1.03574,1.03834
2024/12/19,Thursday,1.03520,1.04220,1.03480,1.03630,4.50000,3.15000,4.04790,6.30125,1.30403,1.28218,4.09385,-0.96925,1.04446,1.04956,1.05295,0.00711,0.00641,0.00747,0.00834,0.00776,0.00851,0.00834,0.00776,0.00861,-0.78126,-1.26379,-1.58127,25.70093,28.71287,32.02614,-0.00849,-0.00734,-0.00115,-0.00836,-0.00013,-0.00339,-0.00606,0.00267,-0.00576,0.00238,1.05867,1.06238,1.06789,1.03025,1.03674,1.03801
2024/12/18,Wednesday,1.04910,1.05130,1.03450,1.03530,4.50000,3.15000,4.04790,6.30125,1.30403,1.28218,4.09385,-0.96925,1.04654,1.05110,1.05442,0.00582,0.00557,0.00833,0.00820,0.00763,0.00863,0.00820,0.00763,0.00874,-1.07402,-1.50319,-1.81301,19.31330,30.63584,35.40373,-0.00788,-0.00756,-0.00032,-0.00833,0.00046,-0.00332,-0.00692,0.00360,-0.00636,0.00304,1.05818,1.06224,1.07107,1.03490,1.03996,1.03776
2024/12/17,Tuesday,1.05120,1.05340,1.04790,1.04920,4.50000,3.15000,4.04790,6.30125,1.30403,1.28218,4.09385,-0.96925,1.04940,1.05254,1.05567,0.00151,0.00353,0.00818,0.00602,0.00673,0.00892,0.00602,0.00673,0.00902,-0.01906,-0.31692,-0.61288,36.00000,40.56122,33.77778,-0.00627,-0.00790,0.00163,-0.00845,0.00218,-0.00313,-0.00784,0.00471,-0.00712,0.00398,1.05242,1.05959,1.07204,1.04638,1.04548,1.03930
2024/12/16,Monday,1.04880,1.05240,1.04750,1.05120,4.50000,3.15000,4.04790,6.30125,1.30403,1.28218,4.09385,-0.96925,1.05010,1.05306,1.05713,0.00199,0.00354,0.01048,0.00630,0.00715,0.00895,0.00630,0.00715,0.00905,0.10475,-0.17703,-0.56095,34.35115,52.56125,36.80405,-0.00703,-0.00859,0.00156,-0.00899,0.00196,-0.00407,-0.00892,0.00485,-0.00811,0.00404,1.05408,1.06015,1.07810,1.04612,1.04598,1.03616
2024/12/13,Friday,1.04680,1.05240,1.04530,1.05030,4.50000,3.15000,4.04790,6.30125,1.30403,1.28218,4.09385,-0.96925,1.05092,1.05290,1.05835,0.00291,0.00368,0.01176,0.00656,0.00766,0.00894,0.00656,0.00766,0.00916,-0.05900,-0.24694,-0.76031,26.27737,50.78300,38.27684,-0.00743,-0.00917,0.00174,-0.00948,0.00205,-0.00545,-0.00997,0.00452,-0.00912,0.00367,1.05674,1.06025,1.08188,1.04510,1.04555,1.03482
