date,opening,high,low,closing,volume
2025/03/24,895.00000,931.00000,893.00000,913.00000,617100.00000
2025/03/21,839.00000,865.00000,839.00000,865.00000,312600.00000
2025/03/19,835.00000,848.00000,821.00000,826.00000,253000.00000
2025/03/18,815.00000,855.00000,815.00000,840.00000,476700.00000
2025/03/17,820.00000,845.00000,808.00000,808.00000,641300.00000
2025/03/14,779.00000,790.00000,772.00000,785.00000,336600.00000
2025/03/13,765.00000,784.00000,763.00000,779.00000,295800.00000
2025/03/12,718.00000,773.00000,718.00000,761.00000,405700.00000
2025/03/11,718.00000,733.00000,705.00000,733.00000,457400.00000
2025/03/10,742.00000,755.00000,737.00000,748.00000,231600.00000
2025/03/07,759.00000,762.00000,730.00000,744.00000,284700.00000
2025/03/06,748.00000,766.00000,746.00000,755.00000,272700.00000
2025/03/05,735.00000,735.00000,710.00000,733.00000,261000.00000
2025/03/04,758.00000,758.00000,711.00000,725.00000,488800.00000
2025/03/03,750.00000,778.00000,735.00000,773.00000,445400.00000
2025/02/28,740.00000,780.00000,740.00000,754.00000,528900.00000
2025/02/27,758.00000,771.00000,737.00000,737.00000,284200.00000
2025/02/26,760.00000,764.00000,745.00000,763.00000,264600.00000
2025/02/25,760.00000,772.00000,742.00000,752.00000,460100.00000
2025/02/21,792.00000,809.00000,774.00000,777.00000,334200.00000
2025/02/20,806.00000,842.00000,791.00000,791.00000,500900.00000
2025/02/19,788.00000,807.00000,782.00000,798.00000,435400.00000
2025/02/18,818.00000,827.00000,785.00000,788.00000,811800.00000
2025/02/17,871.00000,885.00000,816.00000,823.00000,1073700.00000
2025/02/14,947.00000,960.00000,919.00000,931.00000,407900.00000
2025/02/13,934.00000,951.00000,921.00000,937.00000,326900.00000
2025/02/12,919.00000,926.00000,906.00000,920.00000,203700.00000
2025/02/10,875.00000,918.00000,873.00000,910.00000,298200.00000
2025/02/07,878.00000,888.00000,855.00000,871.00000,295200.00000
2025/01/08,1019.00000,1022.00000,990.00000,999.00000,206300.00000
2025/01/07,1018.00000,1034.00000,1006.00000,1017.00000,297600.00000
2025/01/06,1113.00000,1136.00000,1047.00000,1048.00000,486100.00000
2024/12/30,1018.00000,1090.00000,1015.00000,1086.00000,612000.00000
2024/12/27,972.00000,975.00000,952.00000,975.00000,147700.00000
2024/12/26,967.00000,984.00000,956.00000,957.00000,174000.00000
2024/12/25,970.00000,986.00000,957.00000,967.00000,115200.00000
2024/12/24,971.00000,977.00000,949.00000,977.00000,185700.00000
2024/12/23,975.00000,998.00000,961.00000,976.00000,196300.00000
2024/12/20,999.00000,999.00000,963.00000,966.00000,208500.00000
2024/12/19,994.00000,1007.00000,982.00000,988.00000,202200.00000
2024/12/18,1041.00000,1041.00000,1002.00000,1020.00000,115800.00000
2024/12/17,1031.00000,1042.00000,1006.00000,1026.00000,206100.00000
2024/12/16,1041.00000,1050.00000,1009.00000,1044.00000,186300.00000
2024/12/13,1093.00000,1093.00000,1036.00000,1045.00000,176200.00000
2024/12/12,1051.00000,1082.00000,1051.00000,1063.00000,250400.00000
2024/12/11,1036.00000,1043.00000,1012.00000,1034.00000,182100.00000
2024/12/10,1010.00000,1054.00000,991.00000,1047.00000,401500.00000
2024/12/09,946.00000,995.00000,946.00000,993.00000,287200.00000
2024/12/06,970.00000,971.00000,934.00000,934.00000,171400.00000
2024/12/05,970.00000,999.00000,964.00000,974.00000,159200.00000
2024/12/04,950.00000,982.00000,945.00000,970.00000,120800.00000
2024/12/03,969.00000,970.00000,943.00000,950.00000,191200.00000
2024/12/02,955.00000,1009.00000,945.00000,969.00000,339100.00000
2024/11/29,949.00000,955.00000,911.00000,940.00000,400000.00000
2024/11/28,970.00000,979.00000,953.00000,960.00000,147200.00000
2024/11/27,946.00000,970.00000,938.00000,960.00000,123000.00000
2024/11/26,960.00000,981.00000,941.00000,946.00000,346700.00000
2024/11/25,968.00000,974.00000,931.00000,946.00000,317700.00000
2024/11/22,1030.00000,1047.00000,960.00000,960.00000,492700.00000
2024/11/21,1022.00000,1055.00000,1013.00000,1035.00000,149900.00000
2024/11/20,1035.00000,1038.00000,1015.00000,1018.00000,124000.00000
2024/11/19,1003.00000,1050.00000,1000.00000,1035.00000,267400.00000
2024/11/18,986.00000,1021.00000,971.00000,999.00000,345400.00000
2024/11/15,1026.00000,1038.00000,1000.00000,1015.00000,692400.00000
2024/11/14,900.00000,910.00000,875.00000,888.00000,263300.00000
2024/11/13,910.00000,913.00000,891.00000,899.00000,144600.00000
2024/11/12,900.00000,917.00000,894.00000,905.00000,136600.00000
2024/11/11,892.00000,900.00000,881.00000,900.00000,77500.00000
2024/11/08,885.00000,920.00000,879.00000,904.00000,172000.00000
2024/11/07,895.00000,920.00000,885.00000,900.00000,196100.00000
2024/11/06,895.00000,895.00000,865.00000,883.00000,95800.00000
2024/11/05,888.00000,888.00000,865.00000,865.00000,61500.00000
2024/11/01,884.00000,890.00000,875.00000,879.00000,103400.00000
2024/10/31,898.00000,908.00000,889.00000,897.00000,84000.00000
2024/10/30,903.00000,913.00000,891.00000,900.00000,130400.00000
2024/10/29,881.00000,915.00000,875.00000,910.00000,142900.00000
2024/10/28,860.00000,889.00000,857.00000,880.00000,119600.00000
2024/10/25,896.00000,899.00000,854.00000,873.00000,169400.00000
2024/10/24,889.00000,909.00000,882.00000,898.00000,88600.00000
2024/10/23,921.00000,943.00000,898.00000,899.00000,125500.00000
2024/10/22,959.00000,959.00000,915.00000,916.00000,133100.00000
2024/10/21,946.00000,968.00000,939.00000,966.00000,114000.00000
2024/10/18,990.00000,998.00000,950.00000,960.00000,151700.00000
2024/10/17,999.00000,1005.00000,984.00000,994.00000,80300.00000
2024/10/16,1010.00000,1012.00000,996.00000,1004.00000,104500.00000
2024/10/15,1007.00000,1023.00000,999.00000,1017.00000,81300.00000
2024/10/11,1020.00000,1024.00000,999.00000,1008.00000,55300.00000
2024/10/10,1048.00000,1052.00000,1015.00000,1019.00000,88100.00000
2024/10/09,1005.00000,1058.00000,1004.00000,1048.00000,157600.00000
2024/10/08,995.00000,1012.00000,980.00000,990.00000,127800.00000
2024/10/07,1002.00000,1018.00000,994.00000,1004.00000,140700.00000
2024/10/04,1011.00000,1045.00000,991.00000,998.00000,174700.00000
2024/10/03,1053.00000,1055.00000,1012.00000,1020.00000,75500.00000
2024/10/02,1053.00000,1053.00000,1002.00000,1023.00000,146800.00000
2024/10/01,1053.00000,1069.00000,1038.00000,1055.00000,73600.00000
2024/09/30,1071.00000,1100.00000,1042.00000,1067.00000,214400.00000
2024/09/27,1095.00000,1097.00000,1074.00000,1088.00000,101800.00000
2024/09/26,1067.00000,1090.00000,1056.00000,1085.00000,91700.00000
2024/09/25,1093.00000,1093.00000,1052.00000,1057.00000,95200.00000
2024/09/24,1097.00000,1108.00000,1085.00000,1089.00000,116400.00000
2024/09/20,1125.00000,1133.00000,1073.00000,1097.00000,167000.00000
2024/09/19,1079.00000,1115.00000,1079.00000,1110.00000,195300.00000
2024/09/18,1098.00000,1118.00000,1064.00000,1073.00000,173600.00000
2024/09/17,1079.00000,1079.00000,1032.00000,1063.00000,176000.00000
2024/09/13,1100.00000,1108.00000,1078.00000,1079.00000,184200.00000
2024/09/12,1050.00000,1099.00000,1042.00000,1086.00000,218600.00000
2024/09/11,1062.00000,1079.00000,986.00000,1011.00000,278500.00000
2024/09/10,1016.00000,1065.00000,1012.00000,1065.00000,183800.00000
2024/09/09,976.00000,1027.00000,971.00000,1015.00000,141200.00000
2024/09/06,1058.00000,1067.00000,999.00000,1021.00000,150600.00000
2024/09/05,1005.00000,1067.00000,1005.00000,1043.00000,193200.00000
2024/09/04,995.00000,1038.00000,995.00000,1018.00000,270800.00000
2024/09/03,982.00000,1040.00000,978.00000,1038.00000,293900.00000
2024/09/02,981.00000,990.00000,958.00000,972.00000,118500.00000
2024/08/30,983.00000,1014.00000,983.00000,996.00000,136300.00000
2024/08/29,974.00000,1016.00000,973.00000,994.00000,159900.00000
2024/08/28,998.00000,1009.00000,967.00000,987.00000,195400.00000
2024/08/27,1003.00000,1020.00000,998.00000,1017.00000,217200.00000
2024/08/26,950.00000,1009.00000,932.00000,1009.00000,283600.00000
2024/08/23,951.00000,963.00000,930.00000,945.00000,248400.00000
2024/08/22,962.00000,982.00000,940.00000,963.00000,311700.00000
2024/08/21,910.00000,941.00000,910.00000,917.00000,211100.00000
2024/08/20,916.00000,953.00000,903.00000,920.00000,401100.00000
2024/08/19,895.00000,909.00000,856.00000,856.00000,273300.00000
2024/08/16,891.00000,904.00000,840.00000,866.00000,331200.00000
2024/08/15,862.00000,895.00000,830.00000,862.00000,530800.00000
2024/08/14,862.00000,887.00000,845.00000,877.00000,456100.00000
2024/08/13,824.00000,860.00000,815.00000,860.00000,194100.00000
2024/08/09,801.00000,820.00000,781.00000,794.00000,189500.00000
2024/08/08,771.00000,798.00000,750.00000,780.00000,203000.00000
2024/08/07,731.00000,809.00000,716.00000,786.00000,486900.00000
2024/08/06,810.00000,822.00000,727.00000,754.00000,394100.00000
2024/08/05,811.00000,825.00000,721.00000,738.00000,279100.00000
2024/08/02,906.00000,909.00000,867.00000,871.00000,263700.00000
2024/08/01,989.00000,1008.00000,909.00000,930.00000,277000.00000
2024/07/31,999.00000,1011.00000,919.00000,1003.00000,335000.00000
2024/07/30,1025.00000,1025.00000,1000.00000,1019.00000,112600.00000
2024/07/29,1015.00000,1029.00000,1003.00000,1023.00000,100300.00000
2024/07/26,1049.00000,1059.00000,1021.00000,1026.00000,109300.00000
2024/07/25,1006.00000,1045.00000,989.00000,1031.00000,181000.00000
2024/07/24,1052.00000,1077.00000,1048.00000,1054.00000,123800.00000
2024/07/23,1088.00000,1088.00000,1050.00000,1052.00000,78000.00000
2024/07/22,1101.00000,1105.00000,1037.00000,1058.00000,203700.00000
2024/07/19,1060.00000,1112.00000,1046.00000,1101.00000,168000.00000
2024/07/18,1078.00000,1102.00000,1067.00000,1077.00000,136600.00000
2024/07/17,1129.00000,1138.00000,1093.00000,1107.00000,194200.00000
2024/07/16,1100.00000,1115.00000,1078.00000,1107.00000,349700.00000
2024/07/12,993.00000,1083.00000,993.00000,1075.00000,491100.00000
2024/07/11,984.00000,1011.00000,966.00000,993.00000,166500.00000
2024/07/10,996.00000,1003.00000,966.00000,984.00000,110000.00000
2024/07/09,990.00000,1014.00000,963.00000,998.00000,237600.00000
2024/07/08,940.00000,1010.00000,936.00000,992.00000,449800.00000
2024/07/05,908.00000,938.00000,905.00000,937.00000,134900.00000
2024/07/04,953.00000,954.00000,911.00000,914.00000,134800.00000
2024/07/03,905.00000,943.00000,905.00000,943.00000,251500.00000
2024/07/02,897.00000,907.00000,888.00000,906.00000,64100.00000
2024/07/01,925.00000,927.00000,890.00000,893.00000,179600.00000
2024/06/28,925.00000,925.00000,895.00000,920.00000,114700.00000
2024/06/27,907.00000,920.00000,897.00000,915.00000,109300.00000
2024/06/26,934.00000,938.00000,903.00000,912.00000,130000.00000
2024/06/25,917.00000,940.00000,913.00000,923.00000,139800.00000
2024/06/24,916.00000,939.00000,914.00000,923.00000,203700.00000
2024/06/21,900.00000,934.00000,900.00000,901.00000,187000.00000
2024/06/20,895.00000,909.00000,891.00000,900.00000,67600.00000
2024/06/19,893.00000,931.00000,892.00000,897.00000,208900.00000
2024/06/18,887.00000,912.00000,887.00000,897.00000,107800.00000
2024/06/17,874.00000,906.00000,855.00000,881.00000,177700.00000
2024/06/14,845.00000,880.00000,842.00000,865.00000,189400.00000
2024/06/13,895.00000,898.00000,865.00000,865.00000,98100.00000
2024/06/12,910.00000,915.00000,885.00000,888.00000,78500.00000
2024/06/11,900.00000,911.00000,880.00000,906.00000,150600.00000
2024/06/10,896.00000,910.00000,874.00000,890.00000,96600.00000
2024/06/07,903.00000,926.00000,893.00000,902.00000,244400.00000
2024/06/06,915.00000,927.00000,893.00000,894.00000,169100.00000
2024/06/05,919.00000,924.00000,879.00000,884.00000,171900.00000
2024/06/04,847.00000,922.00000,846.00000,919.00000,242500.00000
2024/06/03,871.00000,878.00000,840.00000,849.00000,95600.00000
2024/05/31,863.00000,871.00000,840.00000,869.00000,181500.00000
2024/05/30,841.00000,872.00000,835.00000,863.00000,202200.00000
2024/05/29,930.00000,931.00000,871.00000,871.00000,476200.00000
2024/05/28,885.00000,925.00000,885.00000,915.00000,273700.00000
2024/05/27,839.00000,887.00000,835.00000,878.00000,275100.00000
2024/05/24,835.00000,872.00000,819.00000,824.00000,217200.00000
2024/05/23,900.00000,900.00000,851.00000,863.00000,230100.00000
2024/05/22,888.00000,889.00000,863.00000,880.00000,161100.00000
2024/05/21,896.00000,927.00000,881.00000,881.00000,227700.00000
2024/05/20,955.00000,961.00000,887.00000,892.00000,325600.00000
2024/05/17,920.00000,961.00000,915.00000,949.00000,202700.00000
2024/05/16,1003.00000,1003.00000,931.00000,934.00000,348900.00000
2024/05/15,981.00000,1060.00000,965.00000,983.00000,1296100.00000
2024/05/14,900.00000,915.00000,898.00000,915.00000,278100.00000
2024/05/13,900.00000,910.00000,889.00000,897.00000,142600.00000
2024/05/10,904.00000,912.00000,895.00000,900.00000,176200.00000
2024/05/09,910.00000,910.00000,876.00000,893.00000,132400.00000
2024/05/08,893.00000,905.00000,888.00000,899.00000,125700.00000
2024/05/07,877.00000,909.00000,872.00000,898.00000,191300.00000
2024/05/02,838.00000,866.00000,835.00000,862.00000,113900.00000
2024/05/01,820.00000,844.00000,811.00000,839.00000,156400.00000
2024/04/30,816.00000,830.00000,807.00000,818.00000,128000.00000
2024/04/26,821.00000,832.00000,809.00000,814.00000,138400.00000
2024/04/25,870.00000,870.00000,821.00000,821.00000,309700.00000
2024/04/24,876.00000,911.00000,862.00000,891.00000,885000.00000
2024/04/23,941.00000,945.00000,857.00000,869.00000,1240100.00000
2024/04/22,800.00000,819.00000,781.00000,806.00000,184700.00000
2024/04/19,815.00000,816.00000,760.00000,786.00000,264300.00000
2024/04/18,800.00000,822.00000,789.00000,800.00000,132400.00000
2024/04/17,801.00000,808.00000,784.00000,800.00000,168600.00000
2024/04/16,821.00000,821.00000,800.00000,807.00000,170700.00000
2024/04/15,833.00000,861.00000,833.00000,848.00000,120100.00000
2024/04/12,854.00000,871.00000,845.00000,845.00000,111400.00000
2024/04/11,857.00000,857.00000,836.00000,850.00000,124200.00000
2024/04/10,881.00000,906.00000,872.00000,872.00000,133400.00000
2024/04/09,876.00000,886.00000,865.00000,872.00000,97800.00000
2024/04/08,864.00000,879.00000,858.00000,865.00000,96800.00000
2024/04/05,875.00000,887.00000,855.00000,869.00000,108900.00000
2024/04/04,898.00000,910.00000,878.00000,880.00000,142400.00000
2024/04/03,872.00000,888.00000,852.00000,868.00000,207800.00000
2024/04/02,925.00000,925.00000,873.00000,887.00000,363500.00000
2024/04/01,948.00000,981.00000,937.00000,948.00000,170700.00000
2024/03/29,924.00000,961.00000,917.00000,933.00000,113000.00000
2024/03/28,940.00000,959.00000,926.00000,929.00000,124400.00000
2024/03/27,956.00000,973.00000,936.00000,945.00000,117400.00000
2024/03/26,970.00000,982.00000,945.00000,955.00000,120100.00000
2024/03/25,950.00000,1020.00000,950.00000,960.00000,286800.00000
2024/03/22,965.00000,971.00000,942.00000,947.00000,119300.00000
2024/03/21,994.00000,995.00000,958.00000,966.00000,149400.00000
2024/03/19,970.00000,990.00000,963.00000,975.00000,258600.00000
2024/03/18,924.00000,967.00000,924.00000,967.00000,189000.00000
2024/03/15,931.00000,949.00000,918.00000,939.00000,153200.00000
2024/03/14,955.00000,965.00000,924.00000,944.00000,123800.00000
2024/03/13,913.00000,964.00000,913.00000,946.00000,151100.00000
2024/03/12,895.00000,929.00000,873.00000,928.00000,214900.00000
2024/03/11,901.00000,913.00000,875.00000,894.00000,254700.00000
2024/03/08,943.00000,954.00000,922.00000,925.00000,230500.00000
2024/03/07,942.00000,971.00000,928.00000,943.00000,237200.00000
2024/03/06,930.00000,949.00000,915.00000,946.00000,143900.00000
2024/03/05,950.00000,956.00000,926.00000,953.00000,228400.00000
2024/03/04,890.00000,977.00000,890.00000,935.00000,396400.00000
2024/03/01,929.00000,946.00000,894.00000,900.00000,464100.00000
2024/02/29,939.00000,964.00000,928.00000,944.00000,262700.00000
2024/02/28,950.00000,972.00000,931.00000,943.00000,291700.00000
2024/02/27,932.00000,967.00000,925.00000,941.00000,490300.00000
2024/02/26,889.00000,928.00000,885.00000,904.00000,378300.00000
2024/02/22,888.00000,905.00000,868.00000,889.00000,366900.00000
2024/02/21,827.00000,883.00000,827.00000,873.00000,458400.00000
2024/02/20,828.00000,838.00000,804.00000,821.00000,265000.00000
2024/02/19,785.00000,828.00000,781.00000,825.00000,274700.00000
2024/02/16,763.00000,808.00000,760.00000,788.00000,547100.00000
2024/02/15,704.00000,774.00000,704.00000,767.00000,1109700.00000
2024/02/14,667.00000,678.00000,660.00000,674.00000,379900.00000
2024/02/13,650.00000,666.00000,640.00000,664.00000,255100.00000
2024/02/09,638.00000,658.00000,637.00000,650.00000,300900.00000
2024/02/08,629.00000,638.00000,622.00000,632.00000,133800.00000
2024/02/07,626.00000,633.00000,608.00000,629.00000,171100.00000
2024/02/06,631.00000,631.00000,616.00000,622.00000,157100.00000
2024/02/05,630.00000,638.00000,620.00000,634.00000,149800.00000
2024/02/02,623.00000,637.00000,622.00000,624.00000,145300.00000
2024/02/01,629.00000,635.00000,621.00000,622.00000,82600.00000
2024/01/31,630.00000,635.00000,618.00000,634.00000,110100.00000
2024/01/30,638.00000,655.00000,626.00000,630.00000,162100.00000
2024/01/29,640.00000,642.00000,624.00000,630.00000,160200.00000
2024/01/26,644.00000,663.00000,640.00000,640.00000,156500.00000
2024/01/25,630.00000,657.00000,625.00000,643.00000,267400.00000
2024/01/24,621.00000,642.00000,617.00000,640.00000,183300.00000
2024/01/23,660.00000,660.00000,622.00000,625.00000,364700.00000
2024/01/22,618.00000,672.00000,610.00000,670.00000,443300.00000
2024/01/19,619.00000,632.00000,609.00000,620.00000,204600.00000
2024/01/18,615.00000,617.00000,593.00000,610.00000,224300.00000
2024/01/17,632.00000,639.00000,613.00000,613.00000,197500.00000
2024/01/16,655.00000,657.00000,628.00000,630.00000,307000.00000
2024/01/15,640.00000,658.00000,631.00000,658.00000,163700.00000
2024/01/12,640.00000,641.00000,622.00000,638.00000,270900.00000
2024/01/11,658.00000,665.00000,638.00000,642.00000,110400.00000
2024/01/10,661.00000,661.00000,644.00000,654.00000,121300.00000
2024/01/09,648.00000,660.00000,643.00000,660.00000,117100.00000
2024/01/05,656.00000,660.00000,634.00000,635.00000,132200.00000
2024/01/04,660.00000,663.00000,646.00000,656.00000,105200.00000
2023/12/29,661.00000,669.00000,651.00000,662.00000,123000.00000
2023/12/28,634.00000,674.00000,618.00000,660.00000,268000.00000
2023/12/27,620.00000,639.00000,614.00000,634.00000,208600.00000
2023/12/26,630.00000,634.00000,613.00000,627.00000,209100.00000
2023/12/25,645.00000,649.00000,630.00000,630.00000,94300.00000
2023/12/22,645.00000,656.00000,634.00000,645.00000,147700.00000
2023/12/21,630.00000,659.00000,630.00000,645.00000,138600.00000
2023/12/20,672.00000,684.00000,640.00000,640.00000,262100.00000
2023/12/19,647.00000,674.00000,645.00000,674.00000,138900.00000
2023/12/18,660.00000,669.00000,635.00000,651.00000,201100.00000
2023/12/15,632.00000,682.00000,631.00000,660.00000,394300.00000
2023/12/14,632.00000,640.00000,616.00000,623.00000,96400.00000
2023/12/13,620.00000,638.00000,618.00000,619.00000,112000.00000
2023/12/12,631.00000,638.00000,617.00000,625.00000,126100.00000
2023/12/11,626.00000,637.00000,616.00000,631.00000,137000.00000
2023/12/08,650.00000,656.00000,633.00000,633.00000,184100.00000
2023/12/07,675.00000,678.00000,655.00000,658.00000,161300.00000
2023/12/06,676.00000,698.00000,676.00000,683.00000,157700.00000
2023/12/05,694.00000,708.00000,667.00000,667.00000,308000.00000
2023/12/04,698.00000,716.00000,693.00000,699.00000,169100.00000
2023/12/01,702.00000,709.00000,676.00000,680.00000,226000.00000
2023/11/30,687.00000,696.00000,671.00000,692.00000,157000.00000
2023/11/29,679.00000,705.00000,674.00000,687.00000,247600.00000
2023/11/28,662.00000,688.00000,653.00000,685.00000,296400.00000
2023/11/27,635.00000,655.00000,632.00000,644.00000,136700.00000
2023/11/24,666.00000,666.00000,623.00000,630.00000,277300.00000
2023/11/22,669.00000,673.00000,638.00000,656.00000,416400.00000
2023/11/21,631.00000,686.00000,630.00000,680.00000,490100.00000
2023/11/20,622.00000,647.00000,621.00000,626.00000,234000.00000
2023/11/17,612.00000,643.00000,606.00000,619.00000,157000.00000
2023/11/16,619.00000,648.00000,606.00000,612.00000,307400.00000
2023/11/15,605.00000,616.00000,560.00000,609.00000,540300.00000
2023/11/14,627.00000,635.00000,603.00000,622.00000,219600.00000
2023/11/13,623.00000,636.00000,615.00000,617.00000,101800.00000
2023/11/10,621.00000,627.00000,615.00000,625.00000,93800.00000
2023/11/09,620.00000,631.00000,616.00000,629.00000,60600.00000
2023/11/08,631.00000,650.00000,621.00000,627.00000,124600.00000
2023/11/07,622.00000,639.00000,618.00000,635.00000,99700.00000
2023/11/06,618.00000,643.00000,616.00000,632.00000,194700.00000
2023/11/02,581.00000,605.00000,578.00000,605.00000,100000.00000
2023/11/01,577.00000,584.00000,568.00000,574.00000,76700.00000
2023/10/31,565.00000,578.00000,558.00000,578.00000,72200.00000
