date,Opening,High,Low,Closing,Volume
2025/01/06,460.00000,460.00000,442.00000,448.00000,29700.00000
2024/12/30,460.00000,463.00000,456.00000,460.00000,23800.00000
2024/12/27,450.00000,468.00000,450.00000,458.00000,13800.00000
2024/12/26,446.00000,458.00000,445.00000,450.00000,46300.00000
2024/12/25,454.00000,459.00000,445.00000,447.00000,32500.00000
2024/12/24,469.00000,469.00000,455.00000,455.00000,52600.00000
2024/12/23,476.00000,480.00000,468.00000,472.00000,17300.00000
2024/12/20,478.00000,491.00000,475.00000,478.00000,16000.00000
2024/12/19,481.00000,485.00000,467.00000,480.00000,20600.00000
2024/12/18,500.00000,500.00000,485.00000,491.00000,11900.00000
2024/12/17,515.00000,515.00000,499.00000,500.00000,12200.00000
2024/12/16,511.00000,511.00000,491.00000,507.00000,28200.00000
2024/12/13,508.00000,546.00000,500.00000,515.00000,76900.00000
2024/12/12,509.00000,509.00000,495.00000,508.00000,37900.00000
2024/12/11,462.00000,509.00000,462.00000,509.00000,76800.00000
2024/12/10,470.00000,471.00000,450.00000,462.00000,39500.00000
2024/12/09,463.00000,470.00000,456.00000,467.00000,24800.00000
2024/12/06,465.00000,467.00000,455.00000,460.00000,17500.00000
2024/12/05,450.00000,467.00000,448.00000,462.00000,29200.00000
2024/12/04,452.00000,455.00000,447.00000,447.00000,11700.00000
2024/12/03,451.00000,457.00000,447.00000,451.00000,20600.00000
2024/12/02,469.00000,469.00000,451.00000,451.00000,14900.00000
2024/11/29,464.00000,470.00000,464.00000,469.00000,11600.00000
2024/11/28,484.00000,484.00000,468.00000,468.00000,12100.00000
2024/11/27,473.00000,495.00000,472.00000,488.00000,18200.00000
2024/11/26,457.00000,475.00000,457.00000,470.00000,18600.00000
2024/11/25,455.00000,460.00000,455.00000,459.00000,11100.00000
2024/11/22,469.00000,469.00000,456.00000,457.00000,7500.00000
2024/11/21,466.00000,475.00000,462.00000,469.00000,15000.00000
2024/11/20,451.00000,470.00000,451.00000,466.00000,21200.00000
2024/11/19,449.00000,459.00000,449.00000,451.00000,12000.00000
2024/11/18,455.00000,458.00000,449.00000,449.00000,19300.00000
2024/11/15,455.00000,475.00000,452.00000,459.00000,41600.00000
2024/11/14,472.00000,480.00000,467.00000,469.00000,18700.00000
2024/11/13,465.00000,475.00000,460.00000,468.00000,10500.00000
2024/11/12,478.00000,493.00000,465.00000,465.00000,38300.00000
2024/11/11,487.00000,489.00000,476.00000,479.00000,11500.00000
2024/11/08,498.00000,498.00000,482.00000,487.00000,10500.00000
2024/11/07,490.00000,497.00000,485.00000,497.00000,19200.00000
2024/11/06,491.00000,493.00000,484.00000,490.00000,10100.00000
2024/11/05,489.00000,496.00000,479.00000,494.00000,13000.00000
