date,Opening,High,Low,Closing,Volume,MovingAve5,MovingAve14,MovingAve30,Volatility5,Volatility14,Volatility30,HighLowVolatility5,HighLowVolatility14,HighLowVolatility30,ATR5,ATR14,ATR30,MADRate5,MADRate14,MADRate30,RSI5,RSI14,RSI30,shortMACD,shortMACDSignalSMA,shortMACDHistoSMA,shortMACDSignalEMA,shortMACDHistoEMA,longMACD,longMACDSignalSMA,longMACDHistoSMA,longMACDSignalEMA,longMACDHistoEMA,upperBBand5,upperBBand14,upperBBand30,underBBand5,underBBand14,underBBand30
2024/12/20,159.00000,161.00000,158.00000,158.00000,1459100.00000,162.40000,168.28571,178.13333,4.07922,5.31075,11.27160,4.20000,4.57143,6.23333,4.40000,4.85714,6.73333,-2.70936,-6.11205,-11.30240,0.00000,23.52941,38.40000,-15.73333,-12.72222,-3.01111,-12.49259,-3.24074,-9.84762,-7.23968,-2.60794,-7.26387,-2.58375,170.55843,178.90722,200.67653,154.24157,157.66421,155.59014
2024/12/19,158.00000,161.00000,157.00000,159.00000,2864900.00000,164.60000,169.57143,179.10000,4.07922,4.82130,10.73421,4.60000,4.57143,6.36667,4.80000,4.85714,6.86667,-3.40219,-6.23420,-11.22278,0.00000,23.52941,39.68254,-14.50000,-12.30000,-2.20000,-11.68241,-2.81759,-9.52857,-6.48254,-3.04603,-6.61793,-2.91064,172.75843,179.21402,200.56843,156.44157,159.92884,157.63157
2024/12/18,164.00000,164.00000,160.00000,161.00000,3655000.00000,166.80000,170.85714,179.96667,3.37046,4.18939,10.10770,4.40000,4.64286,6.43333,4.60000,5.07143,6.93333,-3.47722,-5.76923,-10.53899,0.00000,20.51282,39.37008,-13.16667,-11.97407,-1.19259,-10.97801,-2.18865,-9.10952,-5.55661,-3.55291,-5.89027,-3.21925,173.54092,179.23593,200.18206,160.05908,162.47836,159.75127
2024/12/17,168.00000,170.00000,164.00000,165.00000,1977500.00000,168.80000,172.50000,180.86667,2.03961,4.50000,9.56638,4.40000,4.71429,6.43333,4.40000,5.07143,6.90000,-2.25118,-4.34783,-8.77258,0.00000,20.51282,40.65041,-12.06667,-11.65556,-0.41111,-10.43085,-1.63582,-8.36667,-4.61111,-3.75556,-5.08546,-3.28121,172.87922,181.50000,199.99942,164.72078,163.50000,161.73391
2024/12/16,168.00000,169.00000,165.00000,169.00000,2276100.00000,170.00000,174.14286,181.63333,0.89443,5.54021,9.17781,4.00000,5.14286,6.36667,4.00000,5.50000,6.83333,-0.58824,-2.95324,-6.95540,0.00000,20.51282,42.50000,-11.63333,-11.28148,-0.35185,-10.02189,-1.61144,-7.49048,-3.81005,-3.68042,-4.26516,-3.22532,171.78885,185.22327,199.98896,168.21115,163.06245,163.27771
2024/12/13,172.00000,173.00000,168.00000,169.00000,1742400.00000,170.80000,175.78571,182.23333,1.32665,6.99161,8.91696,4.00000,5.14286,6.40000,4.00000,5.50000,6.86667,-1.05386,-3.86022,-7.26175,50.00000,22.50000,42.14876,-11.43333,-10.61852,-0.81481,-9.61903,-1.81430,-6.44762,-3.02011,-3.42751,-3.45883,-2.98879,173.45330,189.76894,200.06726,168.14670,161.80249,164.39941
2024/12/12,171.00000,173.00000,170.00000,170.00000,990300.00000,170.80000,177.35714,182.86667,1.32665,7.72387,8.62451,4.00000,5.28571,6.33333,4.40000,5.64286,6.80000,-0.46838,-4.14821,-7.03609,30.76923,28.57143,43.44262,-12.06667,-9.64074,-2.42593,-9.16546,-2.90121,-5.50952,-2.28360,-3.22593,-2.71163,-2.79790,173.45330,192.80488,200.11569,168.14670,161.90940,165.61764
2024/12/11,172.00000,172.00000,168.00000,171.00000,1196000.00000,171.80000,178.64286,183.40000,2.03961,7.88857,8.30100,4.20000,5.64286,6.40000,4.80000,6.00000,6.90000,-0.46566,-4.27829,-6.76118,50.00000,27.90698,41.73228,-11.60000,-8.28148,-3.31852,-8.44016,-3.15984,-4.75714,-1.55450,-3.20265,-2.01215,-2.74499,175.87922,194.42000,200.00201,167.72078,162.86571,166.79799
2024/12/10,173.00000,173.00000,169.00000,171.00000,1367400.00000,171.80000,180.00000,184.10000,2.03961,8.08879,8.10905,5.20000,5.92857,6.60000,5.80000,6.28571,7.10000,-0.46566,-5.00000,-7.11570,40.00000,26.66667,45.18519,-12.30000,-6.74815,-5.55185,-7.65020,-4.64980,-4.10000,-0.82434,-3.27566,-1.32591,-2.77409,175.87922,196.17759,200.31810,167.72078,163.82241,167.88190
2024/12/09,169.00000,173.00000,169.00000,173.00000,943400.00000,172.60000,181.50000,184.53333,2.33238,8.22670,7.73621,5.40000,6.42857,6.70000,6.00000,6.78571,7.20000,0.23175,-4.68320,-6.25000,42.10526,22.64151,47.44526,-11.93333,-5.00000,-6.93333,-6.48775,-5.44559,-3.03333,-0.13968,-2.89365,-0.63238,-2.40095,177.26476,197.95340,200.00575,167.93524,165.04660,169.06092
