date,Opening,High,Low,Closing,Volume
2024/12/20,159.00000,161.00000,158.00000,158.00000,1459100.00000
2024/12/19,158.00000,161.00000,157.00000,159.00000,2864900.00000
2024/12/18,164.00000,164.00000,160.00000,161.00000,3655000.00000
2024/12/17,168.00000,170.00000,164.00000,165.00000,1977500.00000
2024/12/16,168.00000,169.00000,165.00000,169.00000,2276100.00000
2024/12/13,172.00000,173.00000,168.00000,169.00000,1742400.00000
2024/12/12,171.00000,173.00000,170.00000,170.00000,990300.00000
2024/12/11,172.00000,172.00000,168.00000,171.00000,1196000.00000
2024/12/10,173.00000,173.00000,169.00000,171.00000,1367400.00000
2024/12/09,169.00000,173.00000,169.00000,173.00000,943400.00000
2024/12/06,173.00000,173.00000,168.00000,169.00000,1905400.00000
2024/12/05,173.00000,176.00000,172.00000,175.00000,1448100.00000
2024/12/04,174.00000,179.00000,170.00000,171.00000,4151300.00000
2024/12/03,176.00000,178.00000,173.00000,175.00000,1167400.00000
2024/12/02,177.00000,178.00000,175.00000,176.00000,884600.00000
2024/11/29,181.00000,182.00000,177.00000,177.00000,1523700.00000
2024/11/28,188.00000,189.00000,184.00000,184.00000,926500.00000
2024/11/27,194.00000,199.00000,187.00000,188.00000,1655900.00000
2024/11/26,191.00000,192.00000,188.00000,192.00000,979000.00000
2024/11/25,190.00000,195.00000,188.00000,191.00000,1398900.00000
2024/11/22,191.00000,194.00000,186.00000,188.00000,1111900.00000
2024/11/21,192.00000,197.00000,189.00000,190.00000,1245400.00000
2024/11/20,202.00000,203.00000,192.00000,192.00000,2254700.00000
2024/11/19,189.00000,203.00000,188.00000,202.00000,4606300.00000
2024/11/18,173.00000,187.00000,173.00000,182.00000,2824300.00000
2024/11/15,184.00000,187.00000,170.00000,170.00000,4561100.00000
2024/11/14,190.00000,191.00000,187.00000,187.00000,485400.00000
2024/11/13,190.00000,192.00000,188.00000,188.00000,558900.00000
2024/11/12,190.00000,192.00000,189.00000,191.00000,411000.00000
2024/11/11,187.00000,190.00000,187.00000,190.00000,460100.00000
2024/11/08,187.00000,190.00000,183.00000,187.00000,588400.00000
2024/11/07,190.00000,191.00000,185.00000,185.00000,574300.00000
2024/11/06,188.00000,189.00000,185.00000,188.00000,535400.00000
2024/11/05,189.00000,190.00000,186.00000,188.00000,315600.00000
2024/11/01,187.00000,189.00000,184.00000,187.00000,430700.00000
2024/10/31,186.00000,188.00000,185.00000,188.00000,325300.00000
2024/10/30,191.00000,191.00000,186.00000,186.00000,351500.00000
2024/10/29,184.00000,194.00000,184.00000,192.00000,891900.00000
2024/10/28,178.00000,185.00000,178.00000,184.00000,886200.00000
2024/10/25,180.00000,183.00000,178.00000,180.00000,1003900.00000
2024/10/24,180.00000,181.00000,177.00000,179.00000,1460800.00000
2024/10/23,182.00000,183.00000,180.00000,181.00000,941100.00000
2024/10/22,188.00000,188.00000,181.00000,182.00000,493800.00000
2024/10/21,182.00000,186.00000,181.00000,186.00000,601900.00000
2024/10/18,183.00000,185.00000,182.00000,182.00000,399900.00000
2024/10/17,185.00000,185.00000,181.00000,182.00000,605700.00000
2024/10/16,186.00000,187.00000,182.00000,183.00000,772000.00000
2024/10/15,185.00000,189.00000,185.00000,187.00000,608600.00000
2024/10/11,183.00000,184.00000,182.00000,182.00000,543100.00000
2024/10/10,184.00000,185.00000,183.00000,183.00000,557500.00000
2024/10/09,186.00000,186.00000,184.00000,185.00000,766200.00000
2024/10/08,189.00000,189.00000,185.00000,186.00000,1266400.00000
2024/10/07,191.00000,191.00000,188.00000,189.00000,532800.00000
2024/10/04,190.00000,191.00000,189.00000,191.00000,401800.00000
2024/10/03,191.00000,191.00000,189.00000,190.00000,400800.00000
2024/10/02,190.00000,192.00000,187.00000,187.00000,843700.00000
2024/10/01,191.00000,193.00000,190.00000,191.00000,373500.00000
2024/09/30,195.00000,196.00000,189.00000,190.00000,883300.00000
2024/09/27,198.00000,201.00000,196.00000,197.00000,496800.00000
2024/09/26,199.00000,200.00000,197.00000,197.00000,204300.00000
2024/09/25,200.00000,201.00000,198.00000,199.00000,283300.00000
2024/09/24,198.00000,202.00000,197.00000,199.00000,462300.00000
2024/09/20,201.00000,201.00000,196.00000,198.00000,483400.00000
2024/09/19,201.00000,203.00000,196.00000,197.00000,540800.00000
2024/09/18,202.00000,203.00000,196.00000,199.00000,327600.00000
2024/09/17,205.00000,205.00000,196.00000,199.00000,580000.00000
2024/09/13,206.00000,207.00000,203.00000,204.00000,200400.00000
2024/09/12,203.00000,210.00000,203.00000,207.00000,508300.00000
2024/09/11,205.00000,205.00000,196.00000,197.00000,541800.00000
2024/09/10,206.00000,207.00000,203.00000,205.00000,181600.00000
2024/09/09,201.00000,207.00000,200.00000,205.00000,363100.00000
