Month,InterestRate(JPN),InterestRate(USA),InterestRate(EURO),InterestRate(UK),unemployment rate(JPN),unemployment rate(USA),unemployment rate(EURO),unemployment rate(UK),CPI(JPN),CPI(USA),CPI(EURO),CPI(UK),GDP(JPN),GDP(USA),GDP(EURO),GDP(UK),Tankan
2025/9/1,,,,,,,,,,,,,,,,,
2025/8/1,,,,,,,,,,,,,,,,,
2025/7/1,,,,,,,,,,,,,,,,,
2025/6/1,,,,,,,,,,,,,,,,,
2025/5/1,0.5,4.5,,4.25,,,,,,,,,,,,,
2025/4/1,0.5,4.5,2.4,4.5,,4.2,,4.5,,2.3,2.2,,,,,,
2025/3/1,0.5,4.5,2.65,4.5,2.5,4.2,6.2,4.5,3.6,2.4,2.2,2.6,-0.7,,1.2,1.3,12
2025/2/1,0.5,4.5,2.9,4.5,2.4,4.1,6.2,4.6,3.7,2.8,2.4,2.8,-0.7,,1.2,1.3,12
2025/1/1,0.5,4.5,2.9,4.75,2.5,4,6.2,4.5,4,3,2.5,3,-0.7,,1.2,1.3,12
2024/12/1,0.25,4.5,3.15,4.75,2.4,4.1,6.3,4.6,3.6,2.9,2.4,2.5,2.8,2.3,0.9,1.4,14
2024/11/1,0.25,4.75,3.4,4.75,2.5,4.2,6.3,4.6,2.9,2.7,2.3,2.6,2.8,2.3,0.9,1.4,14
2024/10/1,0.25,5,3.4,5,2.5,4.1,6.3,4.7,2.3,2.6,2,2.3,2.8,2.3,0.9,1.4,14
2024/9/1,0.25,5,3.65,5,2.4,4.1,6.3,4.7,2.5,2.4,1.8,1.7,0.9,2.8,0.9,1,13
2024/8/1,0.25,5.5,4.25,5,2.5,4.2,6.3,4.7,3,2.5,2.2,2.2,0.9,2.8,0.9,1,13
2024/7/1,0.25,5.5,4.25,5.25,2.7,4.3,6.4,4.6,2.8,2.9,2.6,2.2,0.9,2.8,0.9,1,13
2024/6/1,0.1,5.5,4.25,5.25,2.5,4.1,6.5,4.4,2.8,3,2.5,2,3.1,3,0.6,0.9,13
2024/5/1,0.1,5.5,4.5,5.25,2.6,4,6.4,4.3,2.8,3.3,2.6,2,3.1,3,0.6,0.9,13
2024/4/1,0.1,5.5,4.5,5.25,2.6,3.9,6.4,4.1,2.5,3.4,2.4,2.3,3.1,3,0.6,0.9,13
2024/3/1,0.1,5.5,4.5,5.25,2.6,3.8,6.5,4.1,2.7,3.5,2.4,3.2,-2,1.3,0.4,0.2,11
2024/2/1,-0.1,5.5,4.5,5.25,2.6,3.9,6.5,4,2.8,3.2,2.6,3.4,-2,1.3,0.4,0.2,11
2024/1/1,-0.1,5.5,4.5,5.25,2.4,3.7,6.5,4,2.2,3.1,2.8,4,-2,1.3,0.4,0.2,11
2023/12/1,-0.1,5.5,4.5,5.25,2.4,3.7,6.5,4,2.6,3.4,2.9,4,-0.4,3.2,0.1,-0.2,12
2023/11/1,-0.1,5.5,4.5,5.25,2.5,3.7,6.4,4,2.8,3.1,2.4,3.9,-0.4,3.2,0.1,-0.2,12
2023/10/1,-0.1,5.5,4.5,5.25,2.5,3.9,6.5,4,3.3,3.2,2.9,4.6,-0.4,3.2,0.1,-0.2,12
2023/9/1,-0.1,5.5,4.5,5.25,2.6,3.8,6.5,4,3,3.7,4.3,6.7,-2.1,5.2,0.1,0.6,9
2023/8/1,-0.1,5.5,4.25,5.25,2.7,3.8,6.4,4,3.2,3.7,5.3,6.7,-2.1,5.2,0.1,0.6,9
2023/7/1,-0.1,5.5,4.25,5,2.7,3.5,6.5,4,3.3,3.2,5.3,6.8,-2.1,5.2,0.1,0.6,9
2023/6/1,-0.1,5.25,4,5,2.5,3.6,6.4,3.9,3.3,3,5.5,7.9,6,2.1,0.6,0.4,5
2023/5/1,-0.1,5.25,3.75,4.5,2.6,3.7,6.5,3.9,3.2,4,6.1,8.7,6,2.1,0.6,0.4,5
2023/4/1,-0.1,5,3.5,4.25,2.6,3.4,6.5,3.9,3.5,4.9,7,8.7,6,2.1,0.6,0.4,5
2023/3/1,-0.1,5,3.5,4.25,2.8,3.5,6.6,3.9,3.2,5,6.9,10.1,1.6,1.3,1.3,0.2,1
2023/2/1,-0.1,4.75,3,4,2.6,3.6,6.6,3.8,3.3,6,8.5,10.4,1.6,1.3,1.3,0.2,1
2023/1/1,-0.1,4.75,2.5,3.5,2.4,3.4,6.6,3.8,4.3,6.4,8.5,10.1,1.6,1.3,1.3,0.2,1
2022/12/1,-0.1,4.5,2.5,3.5,2.5,3.5,6.7,3.9,4,6.5,9.2,10.5,0.6,2.7,1.9,0.4,7
2022/11/1,-0.1,4,2,3,2.5,3.6,6.5,3.9,3.8,7.1,10,10.7,0.6,2.7,1.9,0.4,7
2022/10/1,-0.1,3.25,2,2.25,2.6,3.7,6.5,3.9,3.7,7.7,10.7,11.1,0.6,2.7,1.9,0.4,7
2022/9/1,-0.1,3.25,1.25,2.25,2.6,3.5,6.6,3.9,3,8.2,10,10.1,-1.2,2.9,2.1,2.4,8
2022/8/1,-0.1,2.5,0.5,1.75,2.5,3.7,6.7,3.9,3,8.3,9.1,9.9,-1.2,2.9,2.1,2.4,8
2022/7/1,-0.1,2.5,0.5,1.25,2.6,3.5,6.6,3.9,2.6,8.5,8.9,10.1,-1.2,2.9,2.1,2.4,8
2022/6/1,-0.1,1.75,0,1.25,2.6,3.6,6.7,3.9,2.4,9.1,8.6,9.4,2.2,-0.6,4,2.9,9
2022/5/1,-0.1,1,0,1,2.6,3.6,6.6,4,2.5,8.6,8.1,9.1,2.2,-0.6,4,2.9,9
2022/4/1,-0.1,0.5,0,0.78,2.5,3.6,6.7,4.1,2.5,8.3,7.5,9,2.2,-0.6,4,2.9,9
2022/3/1,-0.1,0.5,0,0.75,2.6,3.6,6.8,4.2,1.2,8.5,7.5,7,-1,-1.5,5,8.7,14
2022/2/1,-0.1,0.25,0,0.5,2.7,3.8,6.9,4.4,0.9,7.9,5.8,6.2,-1,-1.5,5,8.7,14
2022/1/1,-0.1,0.25,0,0.25,2.8,4,6.8,4.6,0.5,7.5,5.1,5.5,-1,-1.5,5,8.7,14
